tempo,direita,esquerda
1055,33.481,33.735
1056,33.504,33.767
1057,33.504,33.772
1058,33.561,33.749
1059,33.542,33.749
1060,33.518,33.753
1061,33.565,33.739
1062,33.542,33.753
1063,33.546,33.805
1064,33.523,33.782
1065,33.579,33.796
1066,33.532,33.758
1067,33.579,33.753
1068,33.528,33.777
1069,33.499,33.824
1070,33.485,33.824
1071,33.509,33.838
1072,33.579,33.88
1073,33.499,33.763
1074,33.565,33.763
1075,33.575,33.744
1076,33.575,33.782
1077,33.462,33.73
1078,33.466,33.89
1079,33.415,33.758
1080,33.41,33.725
1081,33.514,33.758
1082,33.509,33.711
1083,33.532,33.791
1084,33.462,33.819
1085,33.523,33.833
1086,33.532,33.81
1087,33.584,33.838
1088,33.537,33.829
1089,33.575,33.81
1090,33.551,33.767
1091,33.481,33.758
1092,33.485,33.744
1093,33.495,33.767
1094,33.509,33.749
1095,33.499,33.805
1096,33.415,33.852
1097,33.448,33.852
1098,33.514,33.786
1099,33.499,33.866
1100,33.476,33.857
1101,33.575,33.796
1102,33.485,33.772
1103,33.537,33.805
1104,33.504,33.833
1105,33.504,33.683
1106,33.457,33.758
1107,33.471,33.758
1108,33.334,33.706
1109,33.358,33.744
1110,33.419,33.744
1111,33.396,33.735
1112,33.386,33.739
1113,33.349,33.678
1114,33.358,33.659
1115,33.41,33.688
1116,33.419,33.697
1117,33.433,33.716
1118,33.386,33.73
1119,33.471,33.735
1120,33.349,33.678
1121,33.391,33.739
1122,33.4,33.72
1123,33.424,33.683
1124,33.32,33.678
1125,33.283,33.617
1126,33.353,33.673
1127,33.433,33.608
1128,33.377,33.669
1129,33.438,33.711
1130,33.41,33.735
1131,33.438,33.716
1132,33.33,33.739
1133,33.419,33.796
1134,33.386,33.659
1135,33.405,33.702
1136,33.471,33.725
1137,33.377,33.716
1138,33.386,33.758
1139,33.363,33.673
1140,33.471,33.65
1141,33.457,33.598
1142,33.429,33.678
1143,33.448,33.725
1144,33.457,33.706
1145,33.514,33.664
1146,33.41,33.763
1147,33.372,33.716
1148,33.405,33.72
1149,33.405,33.8
1150,33.504,33.735
1151,33.396,33.767
1152,33.452,33.763
1153,33.372,33.688
1154,33.391,33.688
1155,33.41,33.706
1156,33.377,33.763
1157,33.405,33.767
1158,33.462,33.612
1159,33.405,33.688
1160,33.438,33.655
1161,33.415,33.645
1162,33.316,33.753
1163,33.377,33.664
1164,33.344,33.772
1165,33.415,33.683
1166,33.405,33.688
1167,33.438,33.669
1168,33.415,33.683
1169,33.415,33.659
1170,33.382,33.641
1171,33.448,33.692
1172,33.438,33.735
1173,33.363,33.645
1174,33.386,33.664
1175,33.344,33.688
1176,33.396,33.664
1177,33.41,33.8
1178,33.372,33.744
1179,33.334,33.72
1180,33.316,33.636
1181,33.349,33.65
1182,33.382,33.688
